8.34,,1010.84,90.01
23.64,58.49,1011.4,
29.74,56.9,1007.15,41.91
19.07,49.69,1007.22,76.79
11.8,,1017.13,97.2
13.97,,1016.05,
22.1,71.29,,75.38
14.47,41.76,1021.98,
31.25,69.51,1010.25,36.83
6.77,,,
28.28,68.67,1006.36,69.9
22.99,46.93,,
29.3,70.04,,
8.14,37.49,,80.33
16.92,44.6,1017.34,58.75
,,1021.14,60.34
,43.56,1012.83,47.1
,,1020.44,86.04
9.94,,,
23.54,41.1,1002.05,38.05
14.9,,,77.33
33.8,64.96,1004.88,49.37
25.37,68.31,1011.12,
,41.04,1024.06,89.19
,40.71,1019.13,75.44
,,1025.53,77.23
26.64,62.44,1011.81,72.46
7.84,41.39,1018.21,
21.82,,,64.37
27.17,67.45,1015.67,49.03
13.42,41.23,994.17,
20.77,56.85,1012.4,83.63
8.29,36.08,1020.38,81.53
30.98,67.45,,45.4
31.96,71.29,1008.39,
,,,58.34
22.56,70.79,,93.09
25.91,75.6,1018.23,62.65
8.24,,,78.42
,60.29,1018.0,59.56
29.31,68.67,1006.18,63.38
21.48,66.91,1008.58,84.49
18.28,44.71,,33.71
,65.34,1015.05,
16.01,65.46,,87.68
27.37,63.73,,65.25
,39.63,1004.64,85.61
23.8,,,
8.19,41.66,1016.57,75.38
25.28,67.69,1009.05,68.54
21.47,,1011.72,88.36
30.54,,1014.37,
18.3,44.06,1017.95,63.24
25.82,72.39,1003.4,86.33
31.12,69.13,,56.54
15.99,,1006.09,89.92
8.42,,1008.4,87.78
23.7,69.23,1011.73,
15.71,,,97.46
,74.9,1003.31,74.01
23.73,,1009.71,78.7
,65.34,,43.4
15.92,41.2,1016.04,73.37
,70.8,1009.17,57.01
31.92,,1015.58,41.55
26.87,,,
5.23,40.78,1025.13,92.74
,41.76,1023.07,66.95
17.74,50.88,1015.56,89.78
,59.54,1004.33,73.27
25.82,66.49,1013.2,
34.2,,1002.7,56.09
19.13,68.61,1010.65,94.92
11.77,41.06,1021.45,76.63
,41.46,,84.41
23.82,48.92,1010.48,44.45
30.1,66.25,1009.38,
29.92,69.75,1009.12,67.15
29.63,66.75,1018.08,
30.61,77.17,,73.19
16.18,50.88,1014.06,100.09
,,,68.13
,61.5,1009.64,39.95
,,1012.4,77.81
,,,
6.31,42.07,,
23.4,,,
33.62,77.17,1009.38,
6.89,43.65,1019.87,
27.41,,1008.51,65.49
26.37,54.5,1014.48,
,,,65.87
15.25,43.02,1012.04,
21.24,41.67,1012.6,49.27
,,,
,64.44,,
18.87,,,
5.12,,1025.45,96.88
31.1,71.32,1008.09,
,39.96,1023.57,
,58.2,1019.52,
,61.02,,
22.92,,1013.27,78.32
,38.91,1012.58,75.44
9.38,41.44,1015.09,
10.28,41.46,1018.44,
,77.24,1008.02,67.84
25.34,71.06,1007.74,92.52
,70.02,1009.65,62.03
20.18,56.53,,77.1
21.31,46.97,1014.08,
22.1,,1009.4,85.78
20.09,63.94,,
,,1016.69,
9.43,,1013.03,74.99
28.86,49.3,1003.93,52.85
23.25,,1009.28,86.52
22.7,60.84,,
,59.39,1013.83,84.53
19.94,,1008.52,
14.97,43.67,1011.13,
13.83,,,
23.39,71.25,1005.22,93.7
,47.43,,63.54
22.63,58.41,,
20.01,,,
,43.79,1015.9,
13.58,49.83,1008.9,
14.38,44.84,1024.59,81.68
28.53,69.84,,68.03
13.89,35.71,1016.4,65.49
25.93,69.34,,79.43
17.84,61.27,,
6.28,41.06,1020.96,90.91
8.16,39.64,1011.21,85.56
18.61,67.71,1004.07,84.49
16.23,,1009.96,83.01
8.66,,1022.51,98.55
,66.54,1013.72,81.46
10.17,40.46,,68.21
6.48,40.27,1010.55,
12.69,,1016.05,82.92
,,,
14.43,43.5,1021.86,
28.25,57.19,,
12.26,39.96,1011.79,79.06
14.55,42.74,1027.29,66.64
,,1005.8,70.07
10.25,,,
21.96,,,
9.82,39.64,1010.79,
18.58,44.6,,48.15
20.57,44.9,1008.39,62.69
,41.04,1024.81,
,43.52,,99.67
13.97,,1012.05,85.36
16.76,43.67,,70.55
25.58,47.01,,63.53
17.34,46.48,1007.18,83.15
19.13,66.86,1012.95,
12.75,40.64,1020.44,83.17
29.46,,1003.88,
